Tourist_Spot_Name_English,Tourist_Spot_Name_Korean,District,Major_Category,Minor_Category,Number_of_Visit
Yeongdo Lighthouse,영도 등대,영도구,자연관광지,등대,409
Busan Renecite,부산 르네시떼,사상구,쇼핑,전문매장/상가,401
Amnam Park,부산 암남공원,서구,휴양관광지,공원,396
Cheongdo Chicken,청도치킨,남구,음식점,한식,395
40-step Culture & Tourism Theme Street,40계단 문화관광테마거리,중구,체험관광지,이색거리,369
Peace Park,평화공원,남구,휴양관광지,공원,359
Halmae Gaya Milmyeon,할매가야밀면,중구,음식점,한식,357
Gukje Market Art Street,미술의 거리,중구,체험관광지,이색거리,353
Gijang Market,부산 기장시장,기장군,쇼핑,상설시장,353
Ilpum Hanwoo,일품한우,해운대구,음식점,한식,334
Busan Sports Complex,부산종합운동장,연제구,육상 레포츠,경기장,329
Gwangalli SUP Zone,광안리 SUP Zone,수영구,레포츠소개,수상레포츠,329
Moontan Road,문탠로드,해운대구,육상 레포츠,트래킹,324
Jagalchi Market Live Fish Section,자갈치시장 활어부,중구,쇼핑,특산물판매점,320
Nakdong Estuary Eco-Center,낙동강하구에코센터,사하구,자연관광지,자연생태관광지,305
Busan Cultural Center,부산문화회관,남구,문화시설,공연장,291
Kkamandon,까만돈,부산진구,음식점,한식,290
Busan Bokcheon Museum,복천박물관,동래구,문화시설,박물관,263
Fisheries Science Museum,수산과학관,기장군,문화시설,전시관,258
Dolsotbapjip,돌솥밥집,중구,음식점,한식,255
Gwangbok-dong Cultural & Fashion Street,광복로문화패션거리,중구,체험관광지,이색체험,250
Gupo Market,구포장 / 구포시장,북구,쇼핑,5일장,243
